scenario_id,cat,desc,unit,value,change_ind,notes
scen_0002,irrigation,fraction from surface source,frac,0,y,NA
scen_0002,yield,stand life,years,3,n,NA
scen_0002,yield,"hay, harvests",harvest/year,7,n,NA
scen_0002,yield,"haylage, harvests",harvest/year,2,n,NA
scen_0002,yield,hay production,ton/ac/yr at 10% moisture,10,n,NA
scen_0002,yield,haylage production,ton/ac/yr at 30% moisture,3,n,NA
scen_0002,irrigation,"sprinkler, est",ac-in/stand life,8,n,NA
scen_0002,irrigation,"surface, prod",ac-in/year,64,n,NA
scen_0002,irrigation,depth of well,feet,150,n,NA
scen_0002,irrigation,pump pressure,psi,25,n,NA
scen_0002,irrigation,surface irr eff,frac,0.7,n,NA
scen_0002,irrigation,sprinkler irr eff,frac,0.8,n,NA
scen_0002,irrigation,drip irr eff,frac,0.9,n,NA
scen_0002,seed,"round-up ready seed, non-dormant",lb/ac,25,n,NA
scen_0002,fertility,11-52-0 map,lb/ac/pass,200,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,chateau,oz/ac,4,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0002,field ops,disk,pass/stand life,1,n,NA
scen_0002,field ops,disk,pass/stand life,1,n,NA
scen_0002,field ops,roll,pass/stand life,2,n,NA
scen_0002,field ops,roll,pass/stand life,1,n,NA
scen_0002,field ops,chisel,pass/stand life,1,n,NA
scen_0002,field ops,laser level,pass/stand life,1,n,NA
scen_0002,field ops,disk border ridges,pass/stand life,1,n,NA
scen_0002,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0002,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0002,field ops,disk,pass/stand life,1,n,NA
scen_0002,field ops,disk,pass/stand life,1,n,NA
scen_0002,field ops,roll,pass/stand life,2,n,NA
scen_0002,field ops,roll,pass/stand life,1,n,NA
scen_0002,field ops,plant,pass/stand life,1,n,NA
scen_0002,field ops,weed control,pass/stand life,1,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,1,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,insect control,pass/stand life,3,n,NA
scen_0002,field ops,insect control,pass/stand life,3,n,NA
scen_0002,field ops,insect control,pass/stand life,3,n,NA
scen_0002,field ops,insect control,pass/stand life,3,n,NA
scen_0002,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0002,field ops,"fertilize, map",pass/stand life,1,n,NA
scen_0002,field ops,weed control,pass/stand life,1,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,1,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,weed control,pass/stand life,3,n,NA
scen_0002,field ops,stand termination,pass/stand life,1,n,NA
scen_0002,harvest ops,"haylage, cut",pass/harvest,1,n,NA
scen_0002,harvest ops,"haylage, chop",pass/harvest,1,n,NA
scen_0002,harvest ops,"hay, swath",pass/harvest,1,n,NA
scen_0002,harvest ops,"hay, rake",pass/harvest,1,n,NA
scen_0002,harvest ops,"hay, bale",pass/harvest,1,n,NA
scen_0002,harvest ops,"hay, stack",pass/harvest,1,n,NA
scen_0002,n2o direct,fraction of dm not harvested,frac,0.1,n,NA
scen_0002,n2o direct,kg of n per kg dm,frac,0.027,n,NA
scen_0002,n2o direct,kg roots per kg dm harvested,frac,0.4,n,NA
scen_0002,n2o direct,kg n per kg root dm,frac,0.019,n,NA
scen_0002,n2o direct,kg n-n2o emitted per kg applied/residue n,frac,0.005,n,NA
scen_0002,n2o indirect,"kg n volatized per kg synthetic n, urea",frac,0.15,n,NA
scen_0002,n2o indirect,"kg n volatized per kg synthetic n, ammonium",frac,0.08,n,NA
scen_0002,n2o indirect,"kg n volatized per kg synthetic n, nitrate",frac,0.01,n,NA
scen_0002,n2o indirect,"kg n volatized per kg synthetic n, ammonium-nitrate",frac,0.05,n,NA
scen_0002,n2o indirect,"kg n volatized per kg organic n, organic",frac,0.21,n,NA
scen_0002,n2o indirect,kg n-n2o per kg n volatalized,frac,0.005,n,NA
scen_0002,n2o indirect,kg n leached per kg n,frac,0.24,n,NA
scen_0002,n2o indirect,kg n-n2o per kg n leached,frac,0.011,n,NA
scen_0002,carbon credit,county,NA,tulare,n,NA
scen_0002,carbon credit,practice,NA,conservation crop rotation (cps 328) - basic rotation,n,NA
scen_0002,fertilizer avoidance,type of fertilizer avoided,NA,uan-32,n,NA
scen_0002,fertilizer avoidance,"avoided fertilizer, wheat",lb n/ac,80,n,NA
scen_0002,fertilizer avoidance,"avoided fertilizer, tomatoes",lb n/ac,170,n,NA
scen_0002,fuel,chisel,l diesel/ha,11.69240525,n,NA
scen_0002,fuel,disk,l diesel/ha,7.0154433,n,NA
scen_0002,fuel,disk border ridges,l diesel/ha,7.0154433,n,NA
scen_0002,fuel,laser level,l diesel/ha,8.418531,n,NA
scen_0002,fuel,plant,l diesel/ha,5.0511193,n,NA
scen_0002,fuel,roll,l diesel/ha,3.383002567,n,NA
scen_0002,fuel,stand termination,l diesel/ha,7.0154433,n,NA
scen_0002,fuel,weed control,l diesel/ha,1.2160101,n,NA
scen_0002,fuel,insect control,l diesel/ha,1.2160101,n,NA
scen_0002,fuel,"fertilize, map",l diesel/ha,1.2160101,n,NA
scen_0002,fuel,"haylage, cut",l diesel/ha,3.2738733,n,NA
scen_0002,fuel,"haylage, chop",l diesel/ha,6.828365,n,NA
scen_0002,fuel,"hay, swath",l diesel/ha,6.828365,n,NA
scen_0002,fuel,"hay, rake",l diesel/ha,3.2738733,n,NA
scen_0002,fuel,"hay, bale",l diesel/ha,3.554491,n,NA
scen_0002,fuel,"hay, stack",l diesel/ha,6.828365,n,NA
scen_0002,pesticide manufacture,flumioxazin,mj/kg ai,264.5,n,NA
scen_0002,pesticide manufacture,chlorantraniliprole,mj/kg ai,214,n,NA
scen_0002,pesticide manufacture,paraquat,mj/kg ai,459.4,n,NA
scen_0002,pesticide manufacture,pendimethalin,mj/kg ai,264.5,n,NA
scen_0002,pesticide manufacture,glyphosate,mj/kg ai,454,n,NA
scen_0002,pesticide manufacture,lambda-cyhalothrin,mj/kg ai,214,n,NA
scen_0002,seed manufacture,seed yield,lbs/ac,500,n,NA
scen_0002,energy source,irrigation,NA,diesel,n,NA
scen_0002,energy source,"fuel, field ops",NA,diesel,n,NA
scen_0002,energy source,"fuel, harvest",NA,diesel,n,NA
scen_0002,data source,fuel energy content,NA,epa,n,NA
scen_0002,data source,ghg from fuel,NA,epa,n,NA
scen_0002,gwp,timespan,years,100,n,NA
